Price in Dollars,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
3943.7,Center console boat,Terhi power boats,New boat from stock,2020,4,1.5,Thermoplastic,Germany,75
3840.9,Fishing Boat,Linder power boats,New boat from stock,2019,3.55,1.46,Aluminium,Germany,58
3780,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,Switzerland,239
3955,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2,GRP,Italy,69
4968,Runabout,Kimple power boats,New boat from stock,2020,4.4,1.65,Aluminium,Switzerland,113
4860,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,Switzerland,413
4520,Pilothouse,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",1981,8,2.84,PVC,France,265
4518.9,Fishing Boat,Linder power boats,New boat from stock,2019,3.55,1.46,Aluminium,Germany,69
4440.9,Sport Boat,Linder power boats,"New boat from stock,Unleaded",2020,4.31,1.64,Aluminium,Germany,90
4407,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,Germany,98
4536,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,Switzerland,160
4352.4,Fishing Boat,Linder power boats,New boat from stock,2018,3.55,1.46,Aluminium,Switzerland,130
4293,Fishing Boat,Terhi power boats,New boat from stock,2020,4.01,1.5,Thermoplastic,Switzerland,512
4266,Sport Boat,MÃƒÂ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,Switzerland,202
4104,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,Switzerland,255
4104,Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,Switzerland,1804
4104,Fishing Boat,Hensa power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,Switzerland,849
6215,Sport Boat,Corsiva power boats,New boat from stock,2018,5.2,2.2,GRP,Germany,186
6215,Center console boat,Saver power boats,"Used boat,Unleaded",1997,4.4,1.78,PVC,Spain,118
6215,Sport Boat,Ilver power boats,Used boat,1961,5.5,2.06,GRP,Italy,74
6372,Sport Boat,Skibsplast power boats,Used boat,1980,5.85,2.23,GRP,Switzerland,543
6100.9,Fishing Boat,Linder power boats,New boat from stock,2018,4.01,1.64,Aluminium,Germany,67
5876,Fishing Boat,Viking power boats,New boat from stock,2020,4.2,1.85,Aluminium,Germany,141
5940,Sport Boat,Staempfli power boats,Used boat,1968,4.05,1.58,GRP,Switzerland,278
5940,Runabout,Kimple power boats,New boat from stock,2020,4,1.65,Aluminium,Switzerland,99
7776,Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,3.95,1.55,Plastic,Switzerland,1201
7446.7,Runabout,Schweizer power boats,"Used boat,Unleaded",1972,5.5,1.9,GRP,Germany,277
7345,Cabin Boat,Cranchi power boats,"Used boat,Diesel",1990,6.28,2.27,GRP,Italy,85
7345,Deck Boat,Corsiva power boats,New boat from stock,2018,5.7,2.2,GRP,Germany,122
7345,Pontoon Boat,Brig power boats,"Used boat,Unleaded",2010,5,2.15,GRP,Italy,183
7345,Cabin Boat,Dawncraft power boats,"Used boat,Unleaded",1968,8,2.1,GRP,Germany,289
7345,Sport Boat,Invader power boats,"Used boat,Unleaded",1991,4.5,2.1,GRP,Austria,324
7560,Sport Boat,Bienchen power boats,Used boat,2018,3.2,1.5,GRP,Switzerland,238
7560,Cabin Boat,Fjord power boats,"Used boat,Unleaded",1980,7.26,2.9,GRP,Switzerland,866
7560,Bowrider,Ecofiber power boats,"Used boat,Unleaded",2000,4.15,1.65,GRP,Switzerland,574
8964,"Sport Boat,Working Boat",Italmarine power boats,"Used boat,Unleaded",1986,4.28,1.65,Aluminium,Switzerland,205
8633.2,Deck Boat,Elan power boats,"Used boat,Unleaded",1985,4.5,2.1,GRP,Germany,200
8807.4,Bowrider,Terhi power boats,"New boat from stock,Unleaded",2020,4.45,1.85,Thermoplastic,Switzerland,462
8475,Center console boat,Fletcher power boats,"Used boat,Unleaded",1996,4.5,1.7,GRP,Germany,201
8475,Sport Boat,Fjord power boats,"Used boat,Unleaded",1971,5.7,2.2,GRP,Austria,137
8475,Sport Boat,Ultramar power boats,"Used boat,Unleaded",1994,5.5,2.45,PVC,France,208
8475,Cabin Boat,Yachting France power boats,"Used boat,Unleaded",1981,6.4,2.54,GRP,France,189
8475,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2005,5.23,2.15,PVC,France,131
8475,Sport Boat,Volvo power boats,"Used boat,Unleaded",1995,5.8,2.28,GRP,Germany,490
10152,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1976,5.85,2.3,GRP,Switzerland,280
10006.2,Sport Boat,Karel power boats,"New boat on order,Unleaded",2020,4.8,1.9,GRP,Switzerland,873
9936,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,5.18,2.18,GRP,Switzerland,258
9605,Center console boat,Allegra power boats,Used boat,2018,5.3,2.2,GRP,Italy,165
9605,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1994,5.74,2.31,PVC,France,78
9605,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2006,5.8,2.5,PVC,France,116
9605,Sport Boat,Hellwig power boats,"Used boat,Unleaded",2016,3.1,1.4,GRP,Germany,250
11017.5,Trawler,Gouwerok power boats,Used boat,1980,8.5,3,Steel,Netherland,183
11340,Fishing Boat,Marino CN power boats,"Used boat,Unleaded",2011,4.5,1.95,GRP,Switzerland,465
11232,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,6,2.3,GRP,Switzerland,418
10819.7,Sport Boat,Sting power boats,New boat from stock,2016,4.88,2.03,GRP,Germany,64
10794.9,Motor Yacht,Moonday power boats,New boat from stock,2019,4.8,2,GRP,Netherland,91
10735,Cabin Boat,Gouwerok power boats,Used boat,1964,8.4,2.85,Steel,Netherland,138
10735,Sport Boat,Trimarchi power boats,"New boat from stock,Gas",2019,5.7,2.1,GRP,Italy,184
10735,Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,6.8,2.5,GRP,Germany,162
11880,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,6.18,2.42,GRP,Switzerland,256
11880,Pontoon Boat,MÃƒÂ¤ndli power boats,Used boat,2006,7,1.9,Wood,Switzerland,230
11880,Fishing Boat,MÃƒÂ¤ndli power boats,"Used boat,Unleaded",2006,6,1.6,GRP,Switzerland,182
11772,Runabout,Safter Marine power boats,New boat on order,2020,4.5,1.65,GRP,Switzerland,159
11300,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,8.5,2.6,GRP,Italy,585
11300,Sport Boat,Cigala & Bertinetti power boats,"Used boat,Unleaded",1979,7.25,2.37,GRP,Italy,185
11300,Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,12,3,Steel,Italy,182
11300,"Cabin Boat,Trawler",Werner power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,Germany,900
11300,Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,Italy,783
11300,Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,France,175
11300,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,7.02,2.52,PVC,France,207
12430,Sport Boat,Bayliner power boats,Used boat,1988,6.3,2.34,GRP,Italy,284
12430,Motor Yacht,Chrysler power boats,"Used boat,Unleaded",1974,4.9,2.1,GRP,Germany,125
12430,Cabin Boat,Stingray power boats,Used boat,1997,6.5,2.4,GRP,Italy,229
12430,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,7.03,2.54,PVC,France,226
12430,"Bowrider,Classic",Sunbird power boats,"Used boat,Unleaded",1971,5.79,2.2,Wood,France,87
12430,Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,6.13,2.39,GRP,Italy,175
12430,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.8,2.59,GRP,Italy,173
12430,"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,6,2.4,GRP,Spain,422
12430,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,7.4,2.5,GRP,Germany,243
12430,Sport Boat,Bayliner power boats,Used boat,1987,7.62,2.97,GRP,Netherland,254
12428.9,Deck Boat,Quicksilver (Brunswick Marine) power boats,New boat from stock,2020,5.07,2.12,GRP,Germany,150
12428.9,Sport Boat,BlueCraft power boats,"New boat from stock,Unleaded",2020,5.1,2.1,GRP,Germany,255
12428.9,Sport Boat,Remus power boats,New boat from stock,2020,5.2,2.22,GRP,Germany,179
12418.7,Cabin Boat,Polar power boats,Diesel,1977,6.7,2.3,GRP,Germany,136
13560,Sport Boat,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Unleaded",1993,7.75,2.75,PVC,France,141
13560,"Classic,Runabout,Sport Boat",Cranchi power boats,"Used boat,Unleaded",1990,6.43,2.25,GRP,Serbia,442
13560,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,6.5,2.2,GRP,Germany,327
13560,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,6.16,2.49,Plastic,Italy,188
13560,"Cabin Boat,Motor Yacht",Fjord power boats,"Used boat,Diesel",1978,7.2,2.95,GRP,Germany,1101
13548.7,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2005,5,4.96,PVC,France,141
13986,Sport Boat,Atlantic Marine power boats,New boat from stock,2019,5.3,2.39,GRP,Switzerland,284
13932,Runabout,Safter Marine power boats,New boat from stock,2020,5,1.9,GRP,Switzerland,273
13932,Working Boat,Tinn-Silver power boats,"Display Model,Unleaded",2019,4.5,1.75,Aluminium,Switzerland,365
14430.1,Bowrider,Maxima power boats,New boat from stock,2020,4.9,1.9,GRP,Switzerland,180
14125,Deck Boat,Quicksilver (Brunswick Marine) power boats,"New boat from stock,Unleaded",2019,5,2,GRP,Italy,147
14125,Trawler,Schlosswerft power boats,"Used boat,Diesel",1913,14.7,3.65,Steel,Germany,235
14125,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,5.6,2.2,GRP,Italy,452
14125,Cabin Boat,Compromis power boats,Used boat,1983,7.2,2.85,GRP,Netherland,165
15984,"Cabin Boat,Sport Boat",Windy power boats,"Used boat,Unleaded",1984,7.05,2.5,GRP,Switzerland,436
15469.7,Deck Boat,Jeanneau power boats,New boat from stock,2014,5,2,PVC,Russia,35
15876,Bowrider,Yamarin power boats,New boat from stock,2018,4.57,1.93,GRP,Switzerland,212
15255,Sport Boat,Acquaviva (IT) power boats,"Used boat,Unleaded",1998,5.95,2.48,GRP,Italy,121
15255,Pilothouse,Arvor power boats,"Used boat,Diesel",1999,6.16,2.48,PVC,France,110
15255,Motor Yacht,Bayliner power boats,Used boat,1995,7.75,2.57,GRP,Netherland,83
15255,Sport Boat,Lema power boats,"Used boat,Diesel",1996,7,2,PVC,Spain,264
15255,Center console boat,Ranieri power boats,"Used boat,Unleaded",2002,5.45,2.15,GRP,Italy,109
15255,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,8.8,2.79,GRP,Croatia,132
15255,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2014,4.5,2,PVC,France,81
15255,Sport Boat,BÃƒÂ©nÃƒÂ©teau power boats,"Used boat,Diesel",2006,6.5,2.44,Steel,France,262
16385,Bowrider,Bayliner power boats,"Used boat,Unleaded",1998,3,2,PVC,Portugal,186
16848,Fishing Boat,Smartliner power boats,New boat on order,2020,5.76,2.25,GRP,Switzerland,292
16233.6,Runabout,Karnic power boats,New boat from stock,2018,4.9,2.08,GRP,Switzerland,119
